10		10		10		10	
20220913 biotin dsnPPR10C2 IMAC001:10_UV		20220913 biotin dsnPPR10C2 IMAC001:10_Cond		20220913 biotin dsnPPR10C2 IMAC001:10_Conc		20220913 biotin dsnPPR10C2 IMAC001:10_Fractions	
ml	 mAU	ml	 mS/cm	ml	 %B	ml	(Fractions)
  20.812	   79.413000	  21.422	   17.871000	  24.482	   23.900000	         	            
  20.953	   78.033000	  21.568	   17.885000	  24.649	   24.100000	         	            
  21.095	   76.793000	  21.713	   17.899000	  24.815	   24.300000	         	            
  21.236	   75.153000	  21.859	   17.916000	  24.982	   24.500000	         	            
  21.378	   73.609000	  22.005	   17.933000	  25.149	   24.600000	         	            
  21.519	   72.151000	  22.151	   17.948000	  25.315	   24.800000	         	            
  21.661	   70.621000	  22.296	   17.958000	  25.482	   25.000000	         	            
  21.803	   69.164000	  22.442	   17.967000	  25.648	   25.100000	         	            
  21.944	   67.909000	  22.588	   17.978000	  25.815	   25.300000	         	            
  22.086	   66.673000	  22.733	   17.997000	  25.981	   25.500000	         	            
  22.227	   65.526000	  22.879	   18.012000	  26.148	   25.600000	         	            
  22.369	   64.360000	  23.025	   18.024000	  26.314	   25.800000	         	            
  22.510	   63.360000	  23.171	   18.032000	  26.481	   26.000000	         	            
  22.652	   62.241000	  23.316	   18.047000	  26.647	   26.100000	         	            
  22.794	   61.176000	  23.462	   18.064000	  26.814	   26.300000	         	            
  22.935	   60.211000	  23.608	   18.080000	  26.981	   26.500000	         	            
  23.077	   59.210000	  23.754	   18.093000	  27.147	   26.600000	         	            
  23.218	   58.436000	  23.899	   18.112000	  27.314	   26.800000	         	            
  23.360	   57.785000	  24.045	   18.126000	  27.480	   27.000000	         	            
  23.501	   57.064000	  24.191	   18.139000	  27.647	   27.100000	         	            
  23.643	   56.425000	  24.336	   18.147000	  27.813	   27.300000	         	            
  23.785	   55.906000	  24.482	   18.162000	  27.980	   27.500000	         	            
  23.926	   55.503000	  24.628	   18.176000	  28.146	   27.600000	         	            
  24.068	   54.999000	  24.774	   18.192000	  28.313	   27.800000	         	            
  24.209	   54.534000	  24.919	   18.204000	  28.479	   27.900000	         	            
  24.351	   54.330000	  25.065	   18.218000	  28.646	   28.100000	         	            
  24.493	   54.127000	  25.211	   18.231000	  28.813	   28.300000	         	            
  24.634	   53.861000	  25.357	   18.247000	  28.979	   28.400000	         	            
  24.776	   53.622000	  25.502	   18.262000	  29.146	   28.600000	         	            
  24.917	   53.427000	  25.648	   18.284000	  29.312	   28.800000	         	            
  25.059	   53.312000	  25.794	   18.298000	  29.479	   28.900000	         	            
  25.200	   53.249000	  25.939	   18.312000	  29.645	   29.100000	         	            
  25.342	   53.156000	  26.085	   18.331000	  29.812	   29.300000	         	            
  25.484	   52.974000	  26.231	   18.360000	  29.978	   29.400000	         	            
  25.625	   52.893000	  26.377	   18.383000	  30.145	   29.600000	         	            
  25.767	   53.018000	  26.522	   18.413000	  30.311	   29.800000	         	            
  25.908	   53.082000	  26.668	   18.434000	  30.478	   29.900000	         	            
  26.050	   53.141000	  26.814	   18.448000	  30.645	   30.100000	         	            
  26.191	   53.211000	  26.960	   18.457000	  30.811	   30.300000	         	            
  26.333	   53.418000	  27.105	   18.474000	  30.978	   30.400000	         	            
  26.475	   53.724000	  27.251	   18.482000	  31.144	   30.600000	         	            
  26.616	   53.926000	  27.397	   18.490000	  31.311	   30.800000	         	            
  26.758	   54.299000	  27.542	   18.497000	  31.477	   30.900000	         	            
  26.899	   54.641000	  27.688	   18.510000	  31.644	   31.100000	         	            
  27.041	   55.090000	  27.834	   18.525000	  31.810	   31.300000	         	            
  27.182	   55.495000	  27.980	   18.535000	  31.977	   31.400000	         	            
  27.324	   56.015000	  28.125	   18.547000	  32.143	   31.600000	         	            
  27.466	   56.227000	  28.271	   18.567000	  32.310	   31.800000	         	            
  27.607	   56.411000	  28.417	   18.570000	  32.477	   31.900000	         	            
  27.749	   56.811000	  28.563	   18.577000	  32.643	   32.100000	         	            
  27.890	   56.921000	  28.708	   18.583000	  32.810	   32.300000	         	            
  28.032	   56.936000	  28.854	   18.595000	  32.976	   32.400000	         	            
  28.173	   57.083000	  29.000	   18.603000	  33.143	   32.600000	         	            
  28.315	   57.117000	  29.145	   18.611000	  33.309	   32.800000	         	            
  28.457	   57.066000	  29.291	   18.625000	  33.476	   32.900000	         	            
  28.598	   57.132000	  29.437	   18.640000	  33.642	   33.100000	         	            
  28.740	   57.425000	  29.583	   18.655000	  33.809	   33.300000	         	            
  28.881	   57.865000	  29.728	   18.674000	  33.975	   33.400000	         	            
  29.023	   58.024000	  29.874	   18.688000	  34.142	   33.600000	         	            
  29.164	   58.371000	  30.020	   18.701000	  34.309	   33.800000	         	            
  29.306	   58.804000	  30.166	   18.712000	  34.475	   33.900000	         	            
  29.448	   59.189000	  30.311	   18.723000	  34.642	   34.100000	         	            
  29.589	   59.614000	  30.457	   18.736000	  34.808	   34.200000	         	            
  29.731	   60.175000	  30.603	   18.745000	  34.975	   34.400000	         	            
  29.872	   60.802000	  30.748	   18.754000	  35.141	   34.600000	         	            
  30.014	   61.358000	  30.894	   18.769000	  35.308	   34.700000	         	            
  30.156	   61.852000	  31.040	   18.787000	  35.474	   34.900000	         	            
  30.297	   62.472000	  31.186	   18.806000	  35.641	   35.100000	         	            
  30.439	   63.089000	  31.331	   18.824000	  35.807	   35.200000	         	            
  30.580	   63.742000	  31.477	   18.840000	  35.974	   35.400000	         	            
  30.722	   64.453000	  31.623	   18.852000	  36.141	   35.600000	         	            
  30.863	   65.177000	  31.769	   18.865000	  36.307	   35.700000	         	            
  31.005	   65.902000	  31.914	   18.874000	  36.474	   35.900000	         	            
  31.147	   66.468000	  32.060	   18.885000	  36.640	   36.100000	         	            
  31.288	   67.103000	  32.206	   18.894000	  36.807	   36.200000	         	            
  31.430	   67.822000	  32.351	   18.907000	  36.973	   36.400000	         	            
  31.571	   68.447000	  32.497	   18.924000	  37.140	   36.600000	         	            
  31.713	   69.013000	  32.643	   18.941000	  37.306	   36.700000	         	            
  31.854	   69.645000	  32.789	   18.951000	  37.473	   36.900000	         	            
  31.996	   70.321000	  32.934	   18.970000	  37.639	   37.100000	         	            
  32.138	   70.870000	  33.080	   18.991000	  37.806	   37.200000	         	            
  32.279	   71.489000	  33.226	   19.008000	  37.973	   37.400000	         	            
  32.421	   72.111000	  33.372	   19.019000	  38.139	   37.600000	         	            
  32.562	   72.643000	  33.517	   19.026000	  38.306	   37.700000	         	            
  32.704	   73.203000	  33.663	   19.035000	  38.472	   37.900000	         	            
  32.845	   73.886000	  33.809	   19.047000	  38.639	   38.100000	         	            
  32.987	   74.540000	  33.954	   19.055000	  38.805	   38.200000	         	            
  33.129	   74.983000	  34.100	   19.068000	  38.972	   38.400000	         	            
  33.270	   75.479000	  34.246	   19.081000	  39.138	   38.600000	         	            
  33.412	   75.864000	  34.392	   19.090000	  39.305	   38.700000	         	            
  33.553	   76.386000	  34.537	   19.103000	  39.471	   38.900000	         	            
  33.695	   76.731000	  34.683	   19.115000	  39.638	   39.100000	         	            
  33.836	   77.164000	  34.829	   19.130000	  39.805	   39.200000	         	            
  33.978	   77.496000	  34.975	   19.145000	  39.971	   39.400000	         	            
  34.120	   77.891000	  35.120	   19.161000	  40.138	   39.600000	         	            
  34.261	   78.313000	  35.266	   19.176000	  40.304	   39.700000	         	            
  34.403	   78.636000	  35.412	   19.184000	  40.471	   39.900000	         	            
